id,user_id,username,action,target_table,record_id,details,ip_address,created_at
1735,1,Darius,AUTO_LOGOUT,,,"Session automatically logged out after 30 minutes of inactivity",SDP-DP-115,"2026-04-13 08:31:40"
1736,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-04-13 09:57:18"
1737,1,Darius,UPDATE,calibration_report,2840,"Marked done: High Voltage Probe | Code: HVPB.13 | Cal Date: 2025-04-10 | Next: 2026-04-10",SDP-DP-115,"2026-04-13 09:58:43"
1739,1,Darius,UPDATE,calibration_report,2836,"Marked done: High Voltage Probe | Code: HVPB.04 | Cal Date: 2025-04-07 | Next: 2026-04-07",SDP-DP-115,"2026-04-13 09:58:49"
1741,1,Darius,UPDATE,calibration_report,2923,"Marked done: Micrometer ( Outside ) | Code: MMTR.07 | Cal Date: 2025-04-08 | Next: 2026-04-08",SDP-DP-115,"2026-04-13 09:58:52"
1743,1,Darius,LOGOUT,,,"Logged out",SDP-DP-115,"2026-04-13 09:59:05"
1744,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-04-13 09:59:12"
1745,1,Darius,LOGOUT,,,"Logged out",SDP-DP-115,"2026-04-13 09:59:21"
1746,0,Guest,LOGIN,,,"Guest login",SDP-DP-115,"2026-04-13 10:01:22"
1747,0,Guest,LOGOUT,,,"Logged out",SDP-DP-115,"2026-04-13 22:47:28"
1748,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-04-14 23:21:25"
1751,1,Darius,AUTO_LOGOUT,,,"Session automatically logged out after 30 minutes of inactivity",SDP-DP-115,"2026-04-15 00:33:40"
1752,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-04-15 03:30:02"
1753,1,Darius,UPDATE,calibration_report,3046,"Marked done: Thermohygrometer | Code: THGM.162 | Cal Date: 2025-02-10 | Next: 2026-02-10",SDP-DP-115,"2026-04-15 03:54:40"
1755,1,Darius,UPDATE,calibration_report,3061,"Marked done: Thermohygrometer | Code: THGM.184 | Cal Date: 2025-02-10 | Next: 2026-02-10",SDP-DP-115,"2026-04-15 03:54:42"
1757,1,Darius,UPDATE,calibration_report,3078,"Marked done: Thermohygrometer | Code: THGM.197 | Cal Date: 2025-02-10 | Next: 2026-02-10",SDP-DP-115,"2026-04-15 03:54:45"
1759,1,Darius,UPDATE,calibration_report,3087,"Marked done: Thermohygrometer | Code: THGM.207 | Cal Date: 2025-02-10 | Next: 2026-02-10",SDP-DP-115,"2026-04-15 03:54:47"
1761,1,Darius,UPDATE,calibration_report,3028,"Marked done: Thermohygrometer | Code: THGM.139 | Cal Date: 2025-02-17 | Next: 2026-02-17",SDP-DP-115,"2026-04-15 03:54:49"
1763,1,Darius,UPDATE,calibration_report,3051,"Marked done: Thermohygrometer | Code: THGM.167 | Cal Date: 2025-02-17 | Next: 2026-02-17",SDP-DP-115,"2026-04-15 03:54:51"
